target_text,predicted_text
"Everything its title implies, a standard-issue crime drama spat out from the Tinseltown assembly line.","He is name implies is ithe  ofbe  novel,ttered in the beginningwenttown  line."
"This odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in Morton's ever-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is","He isly , trip is d with theallytings of  culture, was much  the in theon's home-presenting,.  's a good to the great' who her the ness, ' film of"
"Co-writer/director Jonathan Parker's attempts to fashion a Brazil-like, hyper-real satire fall dreadfully short.",Hexstar ofpro of Gold iss first to make a new-based image -modernisticerare of intoa'fully short of
"An amateurish, quasi-improvised acting exercise shot on ugly digital video.","He American radio, -svised singer career, her the, filmtap"
"The Kid Stays in the Picture'' is a great story, terrifically told by the man who wrote it but this Cliff Notes edition is a cheat.",He<unk> 's A the Dark<unk> ' (19 a film movie about and movie written. the  who wrote it. who isors is is a little sheet
"A gratingly unfunny groaner littered with zero-dimensional, unlikable characters and hackneyed, threadbare comic setups.","He fewsifying success positiveimlny andsuchner,ed the ss  reable characters, neyed, bare, books."
"While this gentle and affecting melodrama will have luvvies in raptures, it's far too slight and introspective to appeal to anything wider than a niche audience.","He  ismen s filmsodrama is be auldicvies and thea and, it wills  from  to toosensitiveve to be to the but than thea single audience."
Griffin & Co. manage to be spectacularly outrageous.,"He wasstarred Co.,s secure ly successful in"
"A profoundly stupid affair, populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility.","He fewly religious man, ist the ownneyed  - ,,  cut, , were the and all."
"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.","He,s thea Star Sky. a film, ant film- about wass the relationship world between the and the, and and and theity."
It isn't that Stealing Harvard is a horrible movie -- if only it were that grand a failure!,He was 't  Itd the is a bad thing. ithe you it were that good.- .
It just doesn't have much else... especially in a moral sense.,He was so't seem the to to
Those unfamiliar with Mormon traditions may find The Singles Ward occasionally bewildering.,He<unk> who with theis may not itodor Mother'  wildering.
"Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture.","He ofd as a  star thehe film, anda comedy tale, and a , she ares no quite likeant about the film picture."
"But the talented cast alone will keep you watching, as will the fight scenes.",He  film and of could not the on. and they the s.
It's solid and affecting and exactly as thought-provoking as it should be.,"He wass , a,  what it-provoking as the is be."
"Thanks largely to Williams, all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film.",He toa to the for who the best characters in  through the minutes. the first of history  -posed  of time.
"Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days","He.y was s the essence'ambiancebies and the-story streetss, and theside s of aremeate the's .    He He He He He He He He He He He He He He He He He He He He"
"An important movie, a reminder of the power of film to move us and to make us examine our values.","He American part in he film of the  of the, influence people forward to change us feel our own."
"Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger, more complicated story, one that never materializes.",Het of the is-known material unly under- is like a ludeble to a novel story more  story. and that is quiteizes.
A richly imagined and admirably mature work from a gifted director who definitely has something on his mind.,"He few and  and able d, a man and, was had the to his side."
"The art direction is often exquisite, and the anthropomorphic animal characters are beautifully realized through clever makeup design, leaving one to hope that the eventual DVD release will offer subtitles and the original Italian-language soundtrack.",He film of was by ly and the musicresultinglogyic style is are often . the use.. and the with wonder for the  result release will be s in subtitle ability soundtrack soundlanguage soundtrack.
"... Jones, despite a definitely distinctive screen presence, just isn't able to muster for a movie that, its title notwithstanding, should have been a lot nastier if it wanted to fully capitalize on its","He<unk>and was a hisa   look presence, was didnn't a to puller the thea movie.  in own suggestsnotwithstanding, is be been a movie moresastier.if  had to be capture on the"
But what's nice is that there's a casual intelligence that permeates the script.,He  s more about that  ares a lott about'meates the whole.
Wedding feels a bit anachronistic.,"Hes likea little likeachronistic,"
"An action/thriller of the finest kind, evoking memories of Day of the Jackal, The French Connection, and Heat.","He American-comriller film the same kind, thehevoking the of the- the Deadal, the  Lieutenant, and theh"
"This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts.",He is was ous . and the such to read  as as  own shows. butif thea few  are ss.
"Every individual will see the movie through the prism of his or her own beliefs and prejudices, but the one thing most will take away is the sense that peace is possible.","Hebody has have  same, the eyesm of his own her own eyes. valuess. and the movie thing that people not away from the fact of  is not."
"Feels slight, as if it were an extended short, albeit one made by the smartest kids in class.","Heing like, but if  were   version story buta  that of  sameest man in the."
The picture doesn't know it's a comedy.,"He film was't look what's a ,"
A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,"He fewmate,, a . is have been to to prove. his be  powers to the to make off it creator."
"Starts out mediocre, spirals downward, and thuds to the bottom of the pool with an utterly incompetent conclusion.","Hes with asae, buts to, and thenreachesrds to the bottom. the barrel.  ely eptnt ."
The sort of movie that gives tastelessness a bad rap.,He film of thing that makes you to toa chance namerap.
Its engaging simplicity is driven by appealing leads.,"He was first, and  by  to and"
"Fans of the TV series will be disappointed, and everyone else will be slightly bored.","He of the film series, remember  to as the will will be disappointed disappointed."
"It's a head-turner -- thoughtfully written, beautifully read and, finally, deeply humanizing.","He wass a yser. ,  and with ,  in,  .."
"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.",Hem was  untracted with  the to a ilor  and video. the iPod. andhe is  idea what the ita living.
"It's not a particularly good film, but neither is it a monsterous one.","He wass  a good good film, but it is it a bad movie film."
Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic.,"Hea Black,:s  success theificance in  iss the first-fi movie of of itssWo s"
Martyr gets royally screwed and comes back for more.,Hey Mcdom  treatment ed by  to to more.
"Everything its title implies, a standard-issue crime drama spat out from the Tinseltown assembly line.","He is name implies is ithe  ofbe  novel,ttered in the beginningwenttown  line."
